id,charge_discharge,storage_capacity,year,source,comments
PCI Code,MW,GWh,,,
"2.10",250,1,2026,https://ec.europa.eu/assets/cinea/PCI/files/PCIFiche_2.10_1st_PCI_PMI_list.pdf,
